"date","Fecha","cases_accumulated_our","recovered_our","deceased_our","hospitalized_our","intensive_care_our","cases_accumulated_test_PCR_our","province"
2020-03-11,"2020-03-11",NA,NA,NA,NA,NA,NA,"Ourense"
2020-03-12,"2020-03-12",NA,NA,NA,NA,NA,NA,"Ourense"
2020-03-13,"2020-03-13",NA,NA,NA,NA,NA,NA,"Ourense"
2020-03-14,"2020-03-14",NA,NA,NA,NA,NA,NA,"Ourense"
2020-03-15,"2020-03-15",28,0,0,3,0,NA,"Ourense"
2020-03-16,"2020-03-16",NA,NA,NA,NA,NA,NA,"Ourense"
2020-03-17,"2020-03-17",32,0,0,3,0,NA,"Ourense"
2020-03-18,"2020-03-18",34,0,0,5,1,NA,"Ourense"
2020-03-19,"2020-03-19",46,0,0,5,1,NA,"Ourense"
2020-03-20,"2020-03-20",63,0,0,9,1,NA,"Ourense"
2020-03-21,"2020-03-21",75,0,1,13,1,NA,"Ourense"
2020-03-22,"2020-03-22",96,0,2,20,2,NA,"Ourense"
2020-03-23,"2020-03-23",146,2,2,25,3,NA,"Ourense"
2020-03-24,"2020-03-24",156,2,2,28,3,NA,"Ourense"
2020-03-25,"2020-03-25",190,2,2,47,6,NA,"Ourense"
2020-03-26,"2020-03-26",237,2,3,64,10,NA,"Ourense"
2020-03-27,"2020-03-27",310,3,5,73,10,NA,"Ourense"
2020-03-28,"2020-03-28",386,8,6,80,10,NA,"Ourense"
2020-03-29,"2020-03-29",432,9,8,97,11,NA,"Ourense"
2020-03-30,"2020-03-30",499,11,9,107,11,NA,"Ourense"
2020-03-31,"2020-03-31",545,11,12,132,16,NA,"Ourense"
2020-04-01,"2020-04-01",590,13,18,133,16,NA,"Ourense"
2020-04-02,"2020-04-02",708,26,22,148,18,NA,"Ourense"
2020-04-03,"2020-04-03",746,26,26,170,18,NA,"Ourense"
2020-04-04,"2020-04-04",965,62,28,204,19,NA,"Ourense"
2020-04-05,"2020-04-05",1033,79,33,193,18,NA,"Ourense"
2020-04-06,"2020-04-06",1111,83,36,201,20,NA,"Ourense"
2020-04-07,"2020-04-07",1125,88,38,217,22,NA,"Ourense"
2020-04-08,"2020-04-08",1160,105,54,206,22,3928,"Ourense"
2020-04-09,"2020-04-09",1225,125,59,210,22,4237,"Ourense"
2020-04-10,"2020-04-10",1289,141,66,194,23,4848,"Ourense"
2020-04-11,"2020-04-11",1354,153,72,208,24,5364,"Ourense"
2020-04-12,"2020-04-12",1396,166,76,197,23,NA,"Ourense"
2020-04-13,"2020-04-13",1430,187,77,180,23,NA,"Ourense"
2020-04-14,"2020-04-14",1458,191,80,193,24,NA,"Ourense"
2020-04-15,"2020-04-15",1474,200,81,210,22,7267,"Ourense"
2020-04-16,"2020-04-16",1495,209,83,204,22,8147,"Ourense"
2020-04-17,"2020-04-17",1519,228,84,187,19,8816,"Ourense"
2020-04-18,"2020-04-18",1531,245,86,183,19,9282,"Ourense"
2020-04-19,"2020-04-19",1571,247,91,187,18,9917,"Ourense"
2020-04-20,"2020-04-20",1583,248,92,187,17,10473,"Ourense"
2020-04-21,"2020-04-21",1642,254,95,188,16,10523,"Ourense"
2020-04-22,"2020-04-22",1665,269,95,191,16,11580,"Ourense"
2020-04-23,"2020-04-23",1685,275,99,185,16,12067,"Ourense"
2020-04-24,"2020-04-24",1698,294,102,169,15,12272,"Ourense"
2020-04-25,"2020-04-25",1717,314,104,149,16,13124,"Ourense"
2020-04-26,"2020-04-26",1730,317,106,154,14,13617,"Ourense"
2020-04-27,"2020-04-27",1754,328,111,154,14,14104,"Ourense"
2020-04-28,"2020-04-28",1764,328,111,156,14,14369,"Ourense"
2020-04-29,"2020-04-29",1791,964,112,152,13,14899,"Ourense"
2020-04-30,"2020-04-30",1800,981,112,111,3,15478,"Ourense"
2020-05-01,"2020-05-01",1812,1024,115,96,3,15882,"Ourense"
2020-05-02,"2020-05-02",1821,1075,114,79,3,16044,"Ourense"
2020-05-03,"2020-05-03",1833,1103,117,73,1,16166,"Ourense"
2020-05-04,"2020-05-04",1842,1136,118,83,1,16259,"Ourense"
2020-05-05,"2020-05-05",1851,1192,118,72,1,16387,"Ourense"
2020-05-06,"2020-05-06",1869,1287,120,62,3,16616,"Ourense"
2020-05-07,"2020-05-07",1886,1315,121,64,3,16779,"Ourense"
2020-05-08,"2020-05-08",1897,1343,122,69,2,16977,"Ourense"
2020-05-09,"2020-05-09",1902,1353,123,71,3,17116,"Ourense"
2020-05-10,"2020-05-10",1909,1379,123,66,3,17265,"Ourense"
2020-05-11,"2020-05-11",1919,1390,124,69,3,17353,"Ourense"
2020-05-12,"2020-05-12",1923,1436,125,56,3,17567,"Ourense"
2020-05-13,"2020-05-13",1925,1467,126,50,3,17728,"Ourense"
2020-05-14,"2020-05-14",1936,1487,128,46,3,17989,"Ourense"
2020-05-15,"2020-05-15",1952,1504,128,42,3,18169,"Ourense"
2020-05-16,"2020-05-16",1961,1556,128,35,3,18332,"Ourense"
2020-05-17,"2020-05-17",1965,1627,129,34,3,18518,"Ourense"
2020-05-18,"2020-05-18",1965,1629,129,34,3,18591,"Ourense"
2020-05-19,"2020-05-19",1969,1650,129,29,2,18689,"Ourense"
2020-05-20,"2020-05-20",1976,1676,129,24,2,18889,"Ourense"
2020-05-21,"2020-05-21",1979,1690,129,21,1,19033,"Ourense"
2020-05-22,"2020-05-22",1982,1712,129,16,1,19200,"Ourense"
2020-05-23,"2020-05-23",1984,1727,130,16,1,19326,"Ourense"
2020-05-24,"2020-05-24",1988,1734,130,16,1,19469,"Ourense"
2020-05-25,"2020-05-25",1994,1736,131,19,1,19546,"Ourense"
2020-05-26,"2020-05-26",1994,1742,131,16,1,19602,"Ourense"
2020-05-27,"2020-05-27",1995,1757,131,16,0,19785,"Ourense"
2020-05-28,"2020-05-28",1995,1770,131,8,0,19912,"Ourense"
2020-05-29,"2020-05-29",1997,1777,131,7,0,20050,"Ourense"
2020-05-30,"2020-05-30",1999,1786,131,7,0,20188,"Ourense"
2020-05-31,"2020-05-31",1999,1793,131,5,0,20318,"Ourense"
2020-06-01,"2020-06-01",1999,1793,131,5,0,20399,"Ourense"
2020-06-02,"2020-06-02",2001,1802,131,2,0,20482,"Ourense"
2020-06-03,"2020-06-03",2002,1811,131,1,0,20622,"Ourense"
2020-06-04,"2020-06-04",2002,1818,132,1,0,20748,"Ourense"
2020-06-05,"2020-06-05",2002,1819,132,1,0,20892,"Ourense"
2020-06-06,"2020-06-06",2006,1825,132,2,0,20969,"Ourense"
2020-06-07,"2020-06-07",2006,1830,132,2,0,21097,"Ourense"
2020-06-08,"2020-06-08",2006,1831,132,2,0,21195,"Ourense"
2020-06-09,"2020-06-09",2008,1839,132,2,0,21254,"Ourense"
2020-06-10,"2020-06-10",2012,1846,132,0,0,21431,"Ourense"
2020-06-11,"2020-06-11",2012,1849,132,0,0,21569,"Ourense"
2020-06-12,"2020-06-12",2012,1852,132,0,0,21705,"Ourense"
2020-06-13,"2020-06-13",2012,1852,132,0,0,21778,"Ourense"
2020-06-14,"2020-06-14",2012,1853,132,0,0,21935,"Ourense"
2020-06-15,"2020-06-15",2012,1854,132,0,0,22019,"Ourense"
2020-06-16,"2020-06-16",2012,1854,132,0,0,22084,"Ourense"
2020-06-17,"2020-06-17",2012,1855,132,0,0,22246,"Ourense"
2020-06-18,"2020-06-18",2012,1855,132,0,0,22368,"Ourense"
2020-06-19,"2020-06-19",2013,1857,132,0,0,22463,"Ourense"
2020-06-20,"2020-06-20",2013,1857,132,0,0,22563,"Ourense"
2020-06-21,"2020-06-21",2013,1857,132,0,0,22716,"Ourense"
2020-06-22,"2020-06-22",2013,1857,132,0,0,22813,"Ourense"
2020-06-23,"2020-06-23",2013,1860,132,0,0,22841,"Ourense"
2020-06-24,"2020-06-24",2013,1860,132,0,0,22995,"Ourense"
2020-06-25,"2020-06-25",2014,1860,132,0,0,23118,"Ourense"
2020-06-26,"2020-06-26",2014,1861,132,0,0,23513,"Ourense"
2020-06-27,"2020-06-27",2015,1861,132,0,0,23951,"Ourense"
2020-06-28,"2020-06-28",2015,1861,132,0,0,24355,"Ourense"
2020-06-29,"2020-06-29",2015,1861,132,0,0,24810,"Ourense"
2020-06-30,"2020-06-30",2016,1863,132,0,0,25328,"Ourense"
2020-07-01,"2020-07-01",2016,1864,132,0,0,25889,"Ourense"
2020-07-02,"2020-07-02",2016,1866,132,0,0,26349,"Ourense"
2020-07-03,"2020-07-03",2016,1867,132,0,0,26887,"Ourense"
2020-07-04,"2020-07-04",2016,1874,132,0,0,27208,"Ourense"
2020-07-05,"2020-07-05",2016,1881,132,0,0,27514,"Ourense"
2020-07-06,"2020-07-06",2016,1881,132,0,0,27570,"Ourense"
2020-07-07,"2020-07-07",2016,1881,132,0,0,28196,"Ourense"
2020-07-08,"2020-07-08",2016,1882,132,0,0,28460,"Ourense"
2020-07-09,"2020-07-09",2016,1883,132,0,0,29056,"Ourense"
2020-07-10,"2020-07-10",2017,1883,132,1,0,29811,"Ourense"
2020-07-11,"2020-07-11",2020,1883,132,1,0,30394,"Ourense"
2020-07-12,"2020-07-12",2020,1884,132,1,0,30995,"Ourense"
2020-07-13,"2020-07-13",2020,1884,132,1,0,31605,"Ourense"
2020-07-14,"2020-07-14",2022,1886,132,1,0,32226,"Ourense"
2020-07-15,"2020-07-15",2023,1887,132,1,0,33070,"Ourense"
2020-07-16,"2020-07-16",2025,1889,132,0,0,33848,"Ourense"
2020-07-17,"2020-07-17",2025,1889,132,0,0,34049,"Ourense"
2020-07-18,"2020-07-18",2026,1889,132,1,0,34168,"Ourense"
2020-07-19,"2020-07-19",2026,1889,132,1,0,34282,"Ourense"
2020-07-20,"2020-07-20",2026,1889,132,1,0,34362,"Ourense"
2020-07-21,"2020-07-21",2029,1892,132,1,0,34443,"Ourense"
2020-07-22,"2020-07-22",2029,1892,132,1,0,34628,"Ourense"
2020-07-23,"2020-07-23",2030,1894,132,1,0,34788,"Ourense"
2020-07-24,"2020-07-24",2030,1894,132,1,0,34869,"Ourense"
2020-07-25,"2020-07-25",2032,1894,132,1,0,35002,"Ourense"
2020-07-26,"2020-07-26",2032,1894,132,1,0,35108,"Ourense"
2020-07-27,"2020-07-27",2033,1894,132,1,0,35210,"Ourense"
2020-07-28,"2020-07-28",2033,1894,132,1,0,35275,"Ourense"
2020-07-29,"2020-07-29",2033,1895,132,1,0,35418,"Ourense"
2020-07-30,"2020-07-30",2034,1895,132,2,0,35549,"Ourense"
2020-07-31,"2020-07-31",2042,1895,132,4,0,35695,"Ourense"
2020-08-01,"2020-08-01",2045,1896,132,3,0,35851,"Ourense"
2020-08-02,"2020-08-02",2046,1896,132,3,0,36019,"Ourense"
2020-08-03,"2020-08-03",2054,1896,132,3,0,36092,"Ourense"
2020-08-04,"2020-08-04",2058,1898,132,3,0,36206,"Ourense"
2020-08-05,"2020-08-05",2059,1898,132,3,0,36369,"Ourense"
2020-08-06,"2020-08-06",2062,1898,132,3,0,36553,"Ourense"
2020-08-07,"2020-08-07",2064,1898,132,4,0,36722,"Ourense"
2020-08-08,"2020-08-08",2068,1898,133,3,0,36910,"Ourense"
2020-08-09,"2020-08-09",2073,1899,133,2,0,37063,"Ourense"
2020-08-10,"2020-08-10",2077,1898,133,2,0,37165,"Ourense"
2020-08-11,"2020-08-11",2081,1899,133,4,0,37318,"Ourense"
2020-08-12,"2020-08-12",2086,1899,133,3,0,37516,"Ourense"
2020-08-13,"2020-08-13",2094,1900,133,3,0,37727,"Ourense"
2020-08-14,"2020-08-14",2108,1901,134,2,0,38031,"Ourense"
2020-08-15,"2020-08-15",2116,1904,134,3,0,38237,"Ourense"
2020-08-16,"2020-08-16",2134,1906,134,3,0,38519,"Ourense"
2020-08-17,"2020-08-17",2155,1907,134,3,0,38712,"Ourense"
2020-08-18,"2020-08-18",2176,1911,134,4,0,38904,"Ourense"
2020-08-19,"2020-08-19",2191,1912,134,4,0,39225,"Ourense"
2020-08-20,"2020-08-20",2203,1912,134,7,1,39559,"Ourense"
2020-08-21,"2020-08-21",2226,1913,134,6,1,39855,"Ourense"
2020-08-22,"2020-08-22",2246,1917,134,6,1,40257,"Ourense"
2020-08-23,"2020-08-23",2258,1921,134,10,3,40460,"Ourense"
2020-08-24,"2020-08-24",2272,1926,134,12,3,40742,"Ourense"
